"","fieldname","standard","vetted","namespace","source","comment"
"70","DWC:BED","bed",1,"dwc","",""
"71","DWC:BEHAVIOR","behavior",1,"dwc","",""
"72","DWC:CATALOGNUMBER","catalogNumber",1,"dwc","",""
"73","DWC:CLASS","class",1,"dwc","",""
"74","DWC:COLLECTIONCODE","collectionCode",1,"dwc","",""
"75","DWC:COLLECTIONID","collectionID",1,"dwc","",""
"76","DWC:CONTINENT","continent",1,"dwc","",""
"77","DWC:COORDINATEPRECISION","coordinatePrecision",1,"dwc","",""
"78","DWC:COORDINATEUNCERTAINTYINMETERS","coordinateUncertaintyInMeters",1,"dwc","",""
"79","DWC:COUNTRY","country",1,"dwc","",""
"80","DWC:COUNTRYCODE","countryCode",1,"dwc","",""
"81","DWC:COUNTY","county",1,"dwc","",""
"82","DWC:DATAGENERALIZATIONS","dataGeneralizations",1,"dwc","",""
"83","DWC:DATASETID","datasetID",1,"dwc","",""
"84","DWC:DATASETNAME","datasetName",1,"dwc","",""
"85","DWC:DATEIDENTIFIED","dateIdentified",1,"dwc","",""
"86","DWC:DAY","day",1,"dwc","",""
"87","DWC:DECIMALLATITUDE","decimalLatitude",1,"dwc","",""
"88","DWC:DECIMALLONGITUDE","decimalLongitude",1,"dwc","",""
"89","DWC:DISPOSITION","disposition",1,"dwc","",""
"90","DWC:DYNAMICPROPERTIES","dynamicProperties",1,"dwc","",""
"91","DWC:EARLIESTAGEORLOWESTSTAGE","earliestAgeOrLowestStage",1,"dwc","",""
"92","DWC:EARLIESTEONORLOWESTEONOTHEM","earliestEonOrLowestEonothem",1,"dwc","",""
"93","DWC:EARLIESTEPOCHORLOWESTSERIES","earliestEpochOrLowestSeries",1,"dwc","",""
"94","DWC:EARLIESTERAORLOWESTERATHEM","earliestEraOrLowestErathem",1,"dwc","",""
"95","DWC:EARLIESTPERIODORLOWESTSYSTEM","earliestPeriodOrLowestSystem",1,"dwc","",""
"96","DWC:ENDDAYOFYEAR","endDayOfYear",1,"dwc","",""
"97","DWC:ESTABLISHMENTMEANS","establishmentMeans",1,"dwc","",""
"98","DWC:EVENTDATE","eventDate",1,"dwc","",""
"99","DWC:EVENTID","eventID",1,"dwc","",""
"100","DWC:EVENTREMARKS","eventRemarks",1,"dwc","",""
"101","DWC:EVENTTIME","eventTime",1,"dwc","",""
"102","DWC:FAMILY","family",1,"dwc","",""
"103","DWC:FIELDNOTES","fieldNotes",1,"dwc","",""
"104","DWC:FIELDNUMBER","fieldNumber",1,"dwc","",""
"105","DWC:FOOTPRINTSPATIALFIT","footprintSpatialFit",1,"dwc","",""
"106","DWC:FOOTPRINTSRS","footprintSRS",1,"dwc","",""
"107","DWC:FOOTPRINTWKT","footprintWKT",1,"dwc","",""
"108","DWC:FORMATION","formation",1,"dwc","",""
"109","DWC:GENUS","genus",1,"dwc","",""
"110","DWC:GEODETICDATUM","geodeticDatum",1,"dwc","",""
"111","DWC:GEOLOGICALCONTEXTID","geologicalContextID",1,"dwc","",""
"112","DWC:GEOREFERENCEDBY","georeferencedBy",1,"dwc","",""
"113","DWC:GEOREFERENCEDDATE","georeferencedDate",1,"dwc","",""
"114","DWC:GEOREFERENCEPROTOCOL","georeferenceProtocol",1,"dwc","",""
"115","DWC:GEOREFERENCEREMARKS","georeferenceRemarks",1,"dwc","",""
"116","DWC:GEOREFERENCESOURCES","georeferenceSources",1,"dwc","",""
"117","DWC:GEOREFERENCEVERIFICATIONSTATUS","georeferenceVerificationStatus",1,"dwc","",""
"118","DWC:GROUP","group",1,"dwc","",""
"119","DWC:HABITAT","habitat",1,"dwc","",""
"120","DWC:HIGHERCLASSIFICATION","higherClassification",1,"dwc","",""
"121","DWC:HIGHERGEOGRAPHY","higherGeography",1,"dwc","",""
"122","DWC:HIGHERGEOGRAPHYID","higherGeographyID",1,"dwc","",""
